Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Lines of Code Changed
66,Bump checkstyle from 8.26 to 8.36,Yes,"8 days, 10:08:06",0,0,2
65,Bump actions/setup-java from v1.4.1 to v1.4.2,Yes,"13 days, 10:02:18",0,0,2
64,Takari maven wrapper,No,,1,0,639
63,Bump actions/setup-java from v1.4.0 to v1.4.1,Yes,"8 days, 9:38:40",0,0,2
62,Bump actions/checkout from v2.3.1 to v2.3.2,Yes,9:30:17,0,0,2
61,Bump commons-pool2 from 2.8.0 to 2.8.1,Yes,"4 days, 8:50:04",0,0,2
60,Bump jackson-databind from 2.11.1 to 2.11.2,Yes,"4 days, 8:52:50",0,0,2
59,Bump checkstyle from 8.26 to 8.35,No,,1,0,2
58,Bump servlet-api from 2.4 to 2.5,Yes,"9 days, 8:59:19",0,0,2
57,Bump maven-checkstyle-plugin from 3.1.0 to 3.1.1,Yes,"9 days, 9:02:02",0,0,2
56,Bump jackrabbit-webdav from 1.5.2 to 2.21.3,No,,1,0,2
55,Bump spotbugs-maven-plugin from 3.1.12.2 to 4.0.4,Yes,7:17:03,0,0,2
54,Bump hsqldb from 2.5.0 to 2.5.1,Yes,7:21:56,0,0,2
53,Bump checkstyle from 8.26 to 8.34,No,,1,0,2
52,Bump jackrabbit-webdav from 1.5.2 to 2.21.2,No,,1,0,2
51,Bump jackson-databind from 2.11.0 to 2.11.1,Yes,"1 day, 6:27:09",1,0,2
50,Bump commons-parent from 50 to 51,Yes,"1 day, 5:08:01",0,0,2
49,Bump spring.version from 4.3.27.RELEASE to 5.2.8.RELEASE,No,,1,0,2
48,Bump mailapi from 1.6.4 to 1.6.5,Yes,"1 day, 6:29:06",1,0,2
47,Bump actions/checkout from v1 to v2.3.1,Yes,"1 day, 5:07:58",0,0,2
46,refine ci,No,,1,0,8
45,Mention EnvironmentConfiguration in the list of configuration sources,Yes,"102 days, 21:01:36",1,3,4
44,Release 1 11 branch,No,,1,0,484
43,Fixed bug with FileHandlerReloadingDetector,No,,0,0,2
42,CONFIGURATION-776: Upgrade to BeanUtils2,No,,2,0,54
41,CONFIGURATION-773: User's Guide > Properties files > Saving - small documentation bugs,Yes,0:15:52,1,0,8
40,CONFIGURATION-772: Exclude unused transitive deps,No,,1,0,10
39,Exclude unused dependencies,No,,0,0,10
38,Add new Configuration called PrefixConfiguration,No,,0,2,569
37,Configuration-766: BigDecimal(double) should not be used.,No,,10,0,2
36,[CONFIGURATION-764] Default date lookup can not work for some specific,No,,5,13,138
35,[CONFIGURATION-760] Properties file using cyclical includes cause a StackOverflowError instead of detecting the misconfiguration.,Yes,1:38:14,1,0,209
34,[CONFIGURATION-756] Allow for custom behavior to handle errors loading included properties files.,Yes,"2 days, 0:49:02",0,0,537
33,Fix syntax in user guide documentation,Yes,"13 days, 18:41:51",0,0,2
32,[CONFIGURATION-753] Use only first value for interpolation,No,,7,0,41
31,Adding Power Support,Yes,"5 days, 8:28:05",1,0,5
30,Add special handling for setting array properties,No,,1,0,68
29,Adding support for power,No,,1,0,3
28,Fix tests which compare against the environment,Yes,16:36:02,2,0,21
27,"[CONFIGURATION-745] Add the special key ""includeoptional"" for properties files.",Yes,20:45:36,0,0,112
17,[CONFIGURATION-732] Fix CI build break after upgraded from Java 7 to 8.,No,,1,0,1
16,[CONFIGURATION-731] Allow user to specify the comments & separator ch…,No,,2,0,206
15,CONFIGURATION-729: fixes inconsistency in example,No,,1,0,2
14,[CONFIGURATION-715/716]: Updated the User's guide to include JupIOFac…,No,,1,0,37
13,"CONFIGURATION-715, CONFIGURATION-716: Alternative IOFactory to mimic …",No,,0,0,37
12,(doc) Fix typos in the user guides,No,,5,0,158
11,Configuration 703,No,,1,0,6
10,Fix site navigation group name for 2.x releases,No,,1,0,33
9, Add .gitignore file.,No,,2,0,18
8,pom.xml: add profile that allows build on java 9,No,,1,0,13
7,Update to easymock- to fix test failures under java 8,No,,2,0,2
6,CONFIGURATION-673: Add Automatic-Module-Name MANIFEST entry for Java …,No,,0,0,19
5,Checkstyle,No,,4,0,49
4,Proposed fix for CONFIGURATION-639,No,,1,0,2
3,CONFIGURATION-634: BasePath is incorrectly computed while init of CompositeConfiguration,No,,1,0,56
2,CONFIGURATION-634: BasePath is incorrectly computed while init of CompositeConfiguration,No,,1,0,0
